curr,temp,rpm,vibr_var,classifier
0.5,38.11,2340,269.9614640274,0
0.5,38.13,2928,289.4704323138,0
0.49,38.16,2961,282.8898100873,0
0.5,38.17,2949,259.8291024478,0
0.49,38.19,2949,263.0913203225,0
0.5,38.18,2925,283.8921672949,0
0.49,38.2,2928,262.1118409123,0
0.49,38.21,2907,297.1268549888,0
0.49,38.19,2907,278.4574986878,0
0.49,38.18,2907,255.951954001,0
0.49,38.21,2937,254.2104905282,0
0.49,38.25,2946,260.8951806079,0
0.49,38.21,2946,256.7402538531,0
0.5,38.27,2946,259.9910554945,0
0.49,38.27,2946,236.0218471155,0
0.5,38.25,2946,279.1927756835,0
0.5,38.27,2946,299.7008923033,0
0.49,38.27,2910,260.2855012645,0
0.49,38.25,2898,265.8118957866,0
0.5,38.29,2910,267.6679796727,0
0.49,38.32,2910,280.2363959537,0
0.5,38.3,2916,310.2639142054,0
0.5,38.34,2943,281.6568712126,0
0.49,38.33,2940,253.3715727443,0
0.49,38.41,2928,262.826177411,0
0.5,38.37,2928,272.4366059075,0
0.49,38.42,2922,249.8310087323,0
0.5,38.41,2886,263.2109342942,0
0.5,38.42,2892,227.8808107078,0
0.49,38.43,2883,283.1081023049,0
0.5,38.48,2895,254.1682063274,0
0.5,38.47,2880,234.3135157706,0
0.49,38.49,2871,254.3538626714,0
0.5,38.49,2871,245.1806747151,0
0.5,38.51,2871,219.1237176125,0
0.5,38.53,2847,267.0665290836,0
0.1,38.53,2847,212.9336188388,0
0.02,38.53,2847,225.5271675338,0
0.02,38.53,2739,244.3724555044,0
0.02,38.55,2739,625.9904876655,0
0.02,38.53,2466,61.9059574369,0
0.01,38.53,2058,18.3822565255,0
0.01,38.55,1536,0.4046857855,0
0.01,38.59,972,0.5386553422,0
0.51,38.29,2451,1231.9762421217,1
0.59,38.33,2811,932.4685547463,1
0.59,38.29,2856,1153.3443589535,1
0.61,38.33,2856,1098.501952198,1
0.6,38.35,2931,1418.7506684676,1
0.62,38.3,2964,1453.5463875475,1
0.63,38.33,2991,1512.1112575374,1
0.65,38.35,2994,1491.0280797251,1
0.65,38.33,2994,2192.5028962377,1
0.67,38.33,3345,2071.0534883088,1
0.66,38.33,3345,2387.6821273636,1
0.67,38.33,3300,2258.6401708004,1
0.68,38.37,3291,2607.3951010889,1
0.68,38.41,3291,2462.8117254647,1
0.67,38.35,3264,2277.6814643531,1
0.69,38.41,3258,1948.6760279393,1
0.71,38.41,3258,2156.7804725657,1
0.68,38.41,3264,2590.2208234429,1
0.68,38.41,3264,2682.1057842898,1
0.69,38.45,3267,3038.5363196094,1
0.69,38.43,3297,2358.3314438898,1
0.7,38.45,3321,2709.4110665468,1
0.71,38.45,3321,2278.1340181715,1
0.7,38.45,3273,2394.1972347277,1
0.72,38.43,3246,2140.8926004749,1
0.69,38.5,3264,2675.1786158633,1
0.69,38.49,3288,2364.5999522524,1
0.58,37.45,0,670.8751578948,0
0.78,37.49,210,805.8118245613,0
0.59,37.48,645,631.7625263158,0
0.55,37.46,1173,498.5463859649,0
0.51,37.49,1173,1027.6880175439,0
0.49,37.45,1698,765.0285438596,0
0.5,37.49,1698,523.7077368421,0
0.5,37.49,2202,625.458368421,0
0.49,37.45,2202,477.3052982455,0
0.54,37.45,2592,842.5189298246,0
0.6,37.45,2592,423.4159473684,0
0.66,37.49,2769,580.6705087718,0
0.69,37.46,2814,542.8236491228,0
0.7,37.45,2814,539.4912280701,0
0.75,37.48,2814,341.0705263158,0
0.71,37.45,2934,318.1152631579,0
0.76,37.45,2934,325.0644736842,0
0.78,37.49,2934,597.6836491228,0
0.76,37.49,3015,529.5558245615,0
0.77,37.49,3015,844.2724912281,0
0.77,37.49,3015,3064.2593157897,1
0.77,37.52,3144,1050.2598245615,1
0.77,37.51,3144,667.0148421052,1
0.75,37.51,3195,1169.8689298246,1
0.77,37.51,3195,805.1485614035,1
0.77,37.49,3195,1100.992877193,1
0.75,37.49,3198,698.2159122807,1
0.77,37.51,3198,896.247,1
0.77,37.49,3246,439.3782982456,1
0.77,37.53,3192,522.5565964914,1
0.77,37.51,3192,821.2934561403,1
0.8,37.51,3183,1077.0654385965,1
0.79,37.53,3183,782.8924035089,1
0.77,37.53,3183,1556.2169122808,1
0.79,37.51,3177,1649.7337894737,1
0.78,37.51,3177,2530.5725964914,1
0.77,37.53,3111,3551.2589824562,1
0.8,37.55,3075,4166.1344035089,1
0.79,37.53,3075,2427.3530000001,1
0.78,37.57,3069,1406.0041403508,1
0.79,37.55,3069,882.3537017544,1
0.78,37.61,3069,1013.7037192984,1
0.77,37.6,3033,623.8607017543,1
0.77,37.59,3033,1820.5185263158,1
0.77,37.61,3033,2512.7278947368,1
0.75,37.63,3033,2057.0502982458,1
0.77,37.59,3033,3720.6968421058,1
0.77,37.63,3051,2089.3471578948,1
0.71,37.62,3081,1709.2071403509,1
0.73,37.69,3081,2315.3330701757,1
0.73,37.69,3081,2214.9787543861,1
0.75,37.67,3072,1445.6646491229,1
0.75,37.67,3072,2084.1949298246,1
0.76,37.67,3069,2828.4874561404,1
0.75,37.71,3069,3173.6475087719,1
0.74,37.71,3069,2737.2779824562,1
0.75,37.69,3024,3046.0599122808,1
0.75,37.69,3024,2044.5466140352,1
0.75,37.74,3024,2189.0476491229,1
0.73,37.69,2979,1591.187508772,1
0.71,37.67,2979,1380.3558771932,1
0.71,37.7,2997,2118.2271052632,1
0.76,37.69,2997,2669.266017544,1
0.74,37.67,2997,2244.1871228071,1
0.78,37.71,3024,2347.8935438597,1
