,id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime,accelerationAvg,accelerationDev,classifier
0,13625,31.55,0.02,0,0,2016-04-09 15:44:56,650.4857142857,0.8060991988,2
1,13626,31.57,0.02,0,0,2016-04-09 15:44:56,650.5714285714,0.9646824581,2
2,13627,31.61,0.02,0,0,2016-04-09 15:44:56,650.4285714286,0.5993193418,2
3,13628,31.55,0.02,0,0,2016-04-09 15:44:56,650.7941176471,0.9634317267,2
4,13629,31.57,0.5,0,0,2016-04-09 15:44:57,651.56,1.2674383614,2
5,13630,31.57,0.55,0,0,2016-04-09 15:44:57,647.68,3.9569685366,2
6,13631,31.61,0.64,0,0,2016-04-09 15:44:57,646.4,8.1731266967,2
7,13632,31.61,0.71,0,0,2016-04-09 15:44:57,660.4,6.9512588788,2
8,13633,31.55,0.88,0,39,2016-04-09 15:44:57,656.8260869565,11.7608494736,2
9,13634,31.55,0.91,0,39,2016-04-09 15:44:58,646.9166666667,63.1822210401,2
10,13635,31.57,0.92,0,39,2016-04-09 15:44:58,639.5833333333,28.6093176353,2
11,13636,31.55,1.13,0,39,2016-04-09 15:44:58,649.6666666667,24.7650066738,2
12,13637,31.55,1.24,0,216,2016-04-09 15:44:58,674.7083333333,32.0630617776,2
13,13638,31.57,1.22,0,216,2016-04-09 15:44:58,671.6086956522,51.9437313709,2
14,13639,31.61,0.91,0,216,2016-04-09 15:44:59,637.4347826087,47.6229083411,2
15,13640,31.57,0.79,0,216,2016-04-09 15:44:59,664.9130434783,28.5404564777,2
16,13641,31.55,0.75,0,726,2016-04-09 15:45:00,648.9,21.6215170606,2
17,13642,31.61,0.65,0,1353,2016-04-09 15:45:00,652.6363636364,21.5333683016,2
18,13643,31.57,0.71,0,1353,2016-04-09 15:45:01,650.0333333333,11.0859771283,2
19,13644,31.55,0.65,0,1353,2016-04-09 15:45:01,651.9,23.375699633,2
20,13645,31.61,0.63,0,1962,2016-04-09 15:45:01,664.9,20.5821119746,2
21,13646,31.55,0.63,0,1962,2016-04-09 15:45:02,656.6842105263,10.0580035247,2
22,13647,31.57,0.64,0,1962,2016-04-09 15:45:02,650.3421052632,13.8872836869,2
23,13648,31.55,0.64,0,1962,2016-04-09 15:45:02,656.5405405405,16.5375814347,2
24,13649,31.55,0.68,0,2991,2016-04-09 15:45:03,656.4756097561,13.5247971084,2
25,13650,31.55,0.68,0,2991,2016-04-09 15:45:04,660.1538461538,12.9159779036,2
26,13651,31.57,0.75,0,2991,2016-04-09 15:45:04,657.6538461538,6.2075779229,2
27,13652,31.61,0.74,0,2991,2016-04-09 15:45:04,646.1538461538,17.060282953,2
28,13653,31.61,0.73,0,3144,2016-04-09 15:45:04,643.6153846154,19.5960689211,2
29,13654,31.57,0.78,0,3144,2016-04-09 15:45:04,651.68,13.742547071,2
30,13655,31.57,0.77,0,3144,2016-04-09 15:45:05,650.5294117647,24.4807671137,2
31,13656,31.57,0.78,0,3144,2016-04-09 15:45:05,656.2941176471,20.412697046,2
32,13657,31.63,0.74,0,3144,2016-04-09 15:45:05,657.7647058824,13.8289100917,2
33,13658,31.61,0.77,0,3144,2016-04-09 15:45:05,667.7058823529,10.2885699337,2
34,13659,31.61,0.77,0,3144,2016-04-09 15:45:05,637.3529411765,11.7920270995,2
35,13660,31.61,0.76,0,3144,2016-04-09 15:45:05,680.4705882353,21.4999798825,2
36,13661,31.61,0.76,0,3189,2016-04-09 15:45:05,665.4705882353,17.7999261302,2
37,13662,31.63,0.76,0,3189,2016-04-09 15:45:05,682.5625,19.7609740081,2
38,13663,31.61,0.77,0,3189,2016-04-09 15:45:06,647.8947368421,10.2181198025,2
39,13664,31.57,0.79,0,3189,2016-04-09 15:45:06,654.3157894737,25.4704217137,2
40,13665,31.58,0.76,0,3189,2016-04-09 15:45:06,644.3157894737,18.7814371727,2
41,13666,31.63,0.75,0,3189,2016-04-09 15:45:06,663.2631578947,18.3011132973,2
42,13667,31.63,0.75,0,3246,2016-04-09 15:45:06,655.1578947368,15.4076643877,2
43,13668,31.63,0.76,0,3246,2016-04-09 15:45:06,671.6315789474,13.0028763066,2
44,13669,31.63,0.77,0,3246,2016-04-09 15:45:06,652.9,13.2887170186,2
45,13670,31.63,0.78,0,3246,2016-04-09 15:45:07,669.6285714286,19.8005565784,2
46,13671,31.61,0.78,0,3246,2016-04-09 15:45:07,667.7142857143,12.6277957099,2
47,13672,31.63,0.8,0,3246,2016-04-09 15:45:07,662.1714285714,23.8764506985,2
48,13673,31.63,0.83,0,3246,2016-04-09 15:45:07,668.6285714286,19.6992903633,2
49,13674,31.61,0.79,0,3351,2016-04-09 15:45:08,515.08125,256.6867247219,2
50,13675,31.67,0.76,0,3402,2016-04-09 15:45:09,691.6363636364,31.9524440018,2
51,13676,31.67,0.78,0,3402,2016-04-09 15:45:09,655.9545454545,14.6550558224,2
52,13677,31.63,0.75,0,3402,2016-04-09 15:45:09,646,15.7249078621,2
53,13678,31.67,0.74,0,3429,2016-04-09 15:45:09,660.9090909091,31.4829089145,2
54,13679,31.61,0.74,0,3429,2016-04-09 15:45:09,654.95,34.4840180373,2
55,13680,31.63,0.8,0,3429,2016-04-09 15:45:10,537.7272727273,178.8031375101,2
56,13681,31.63,0.74,0,3429,2016-04-09 15:45:10,684.1515151515,50.5791436309,2
57,13682,31.64,0.76,0,3447,2016-04-09 15:45:10,659.8125,21.5804273301,2
58,13683,31.67,0.85,0,3447,2016-04-09 15:45:11,655.5555555556,17.9367888726,2
59,13684,31.67,0.84,0,3447,2016-04-09 15:45:11,653.8148148148,14.9171465771,2
60,13685,31.63,0.8,0,3447,2016-04-09 15:45:11,691.8148148148,50.1376158314,2
61,13686,31.67,0.82,0,3447,2016-04-09 15:45:11,744.2962962963,6.5592163873,2
62,13687,31.67,0.8,0,3474,2016-04-09 15:45:11,655.0740740741,32.6835851041,2
63,13688,31.63,0.85,0,3474,2016-04-09 15:45:12,657.1951219512,17.6721077079,2
64,13689,31.64,0.81,0,3474,2016-04-09 15:45:12,656.3658536585,12.1208469831,2
65,13690,31.67,0.81,0,3474,2016-04-09 15:45:12,683.8536585366,19.0564770061,2
66,13691,31.67,0.83,0,3462,2016-04-09 15:45:12,702.4,45.7311709887,2
67,13692,31.69,0.81,0,3462,2016-04-09 15:45:13,678.3773584906,39.1259342718,2
68,13693,31.69,0.81,0,3462,2016-04-09 15:45:13,661.8490566038,17.8350896728,2
69,13694,31.69,0.8,0,3462,2016-04-09 15:45:13,705.6666666667,38.4664355857,2
70,13695,31.69,0.82,0,3549,2016-04-09 15:45:14,661.9375,24.3399587869,2
71,13696,31.69,0.83,0,3549,2016-04-09 15:45:14,663.5375,14.2126209318,2
72,13697,31.69,0.8,0,3549,2016-04-09 15:45:15,657.8636363636,18.9983144098,2
73,13698,31.69,0.86,0,3549,2016-04-09 15:45:15,654.9090909091,15.2043925797,2
74,13699,31.69,0.86,0,3549,2016-04-09 15:45:15,659.6818181818,12.6756257283,2
75,13700,31.69,0.81,0,3588,2016-04-09 15:45:15,639.5,15.3022577063,2
76,13701,31.71,0.86,0,3588,2016-04-09 15:45:15,711.5,31.242089908,2
77,13702,31.69,0.86,0,3588,2016-04-09 15:45:15,719.4545454545,22.1887098087,2
78,13703,31.68,0.83,0,3588,2016-04-09 15:45:16,661.1081081081,30.8157416633,2
79,13704,31.71,0.81,0,3588,2016-04-09 15:45:16,650.2972972973,25.8675053017,2
80,13705,31.69,0.8,0,3588,2016-04-09 15:45:16,650.7027027027,28.9135382719,2
81,13706,31.71,0.8,0,3609,2016-04-09 15:45:16,701.5945945946,30.6307207206,2
82,13707,31.69,0.86,0,3609,2016-04-09 15:45:17,669.6285714286,31.4956556771,2
83,13708,31.71,0.89,0,3609,2016-04-09 15:45:17,651.9154929577,20.468282904,2
84,13709,31.71,0.87,0,3678,2016-04-09 15:45:18,664.1315789474,38.1638924506,2
85,13710,31.71,0.88,0,3678,2016-04-09 15:45:18,707.6533333333,44.5248974046,2
86,13711,31.72,0.81,0,3735,2016-04-09 15:45:20,671.0625,31.3338250737,2
87,13712,31.75,0.82,0,3735,2016-04-09 15:45:20,640.875,34.245209519,2
88,13713,31.75,0.81,0,3735,2016-04-09 15:45:20,659.9375,24.1892764206,2
89,13714,31.75,0.86,0,3735,2016-04-09 15:45:20,664.0294117647,19.3778000544,2
90,13715,31.81,0.85,0,3831,2016-04-09 15:45:21,660.5541401274,16.2203752124,2
91,13716,31.77,0.81,0,3831,2016-04-09 15:45:22,653.4375,15.7848902567,2
92,13717,31.77,0.85,0,3831,2016-04-09 15:45:22,674.8125,24.7130669299,2
93,13718,31.77,0.8,0,3831,2016-04-09 15:45:22,697.8085106383,36.5039422516,2
94,13719,31.79,0.81,0,3858,2016-04-09 15:45:23,660.3428571429,15.2726512941,2
95,13720,31.77,0.82,0,3858,2016-04-09 15:45:23,660.8732394366,22.075369984,2
96,13721,31.79,0.86,0,3858,2016-04-09 15:45:24,675.46,30.6347580372,2
97,13722,31.81,0.9,0,3858,2016-04-09 15:45:24,684.2,38.0673088095,2
98,13723,31.75,0.83,0,3858,2016-04-09 15:45:24,656.7755102041,33.9478984388,2
99,13724,31.81,0.81,0,3840,2016-04-09 15:45:25,656.2826086957,49.7225620398,2
100,13725,31.83,0.79,0,3888,2016-04-09 15:45:25,654.9565217391,35.7655144334,2
101,13726,31.83,0.8,0,3888,2016-04-09 15:45:25,650.5333333333,73.4482735596,2
102,13727,31.83,0.81,0,3888,2016-04-09 15:45:26,653.9444444444,52.9559274011,2
103,13728,31.83,0.8,0,3888,2016-04-09 15:45:26,665.0555555556,50.5673063267,2
104,13729,31.83,0.82,0,3888,2016-04-09 15:45:26,642.5,50.1578065266,2
105,13730,31.83,0.8,0,3888,2016-04-09 15:45:26,651.0555555556,83.2332547204,2
106,13731,31.85,0.8,0,3873,2016-04-09 15:45:27,651.4,77.8105391319,2
107,13732,31.83,0.82,0,3873,2016-04-09 15:45:27,658.66,47.9039079825,2
108,13733,31.85,0.8,0,3873,2016-04-09 15:45:27,663.6470588235,21.1963958548,2
109,13734,31.85,0.8,0,3840,2016-04-09 15:45:28,649.2631578947,25.8168490581,2
110,13735,31.85,0.79,0,3840,2016-04-09 15:45:28,671.0526315789,29.8248813192,2
111,13736,31.85,0.78,0,3840,2016-04-09 15:45:28,653.0526315789,32.3833512849,2
112,13737,31.85,0.79,0,3840,2016-04-09 15:45:28,652.2105263158,56.9002626461,2
113,13738,31.85,0.75,0,3804,2016-04-09 15:45:28,662.7894736842,52.118871163,2
114,13739,31.89,0.74,0,3804,2016-04-09 15:45:28,670.5238095238,58.363082793,2
