current,temp,rpm,vibrAvg,vibrStd,classifier
3.34,30.51,3,654.0161290323,81.3953233582,3
3.27,30.51,126,644.1989247312,87.7111473827,3
3.17,30.51,126,648.2096774194,81.0148938444,3
3.37,30.51,126,655.3924731183,80.7149620866,3
3.24,30.51,126,630.0053763441,88.7482544012,3
3.36,30.47,126,651.4946236559,79.6304804202,3
3.34,30.47,126,662.7258064516,77.5846750792,3
3.35,30.51,126,663.6666666667,77.6241057412,3
3.26,30.51,126,654.6129032258,82.2615854191,3
3.33,30.51,126,658.1720430108,75.7540763169,3
3.24,30.51,126,649.0806451613,85.1558277614,3
3.33,30.51,126,656.9731182796,81.8124285847,3
3.46,30.53,126,648.2849462366,87.5948609558,3
3.21,30.53,126,652.1666666667,80.6201045303,3
3.3,30.57,126,629.4139784946,85.053276272,3
3.31,30.57,126,662.6397849462,75.1965476784,3
3.46,30.59,126,643.1182795699,85.820311086,3
3.27,30.59,126,666.1612903226,75.1159376761,3
3.28,30.59,126,657.688172043,77.3048675587,3
3.54,30.59,327,647.8225806452,75.8764964658,3
3.28,30.59,327,642.9247311828,84.2300659624,3
3.35,30.57,327,662.3655913979,79.6814605798,3
3.35,30.57,327,649.0752688172,87.8903564944,3
3.32,30.57,327,643.3279569892,81.3191969897,3
3.37,30.59,327,656.9086021505,77.3826355948,3
3.36,30.59,327,629.8172043011,86.6522460587,3
3.54,30.59,327,652.9892473118,74.9208894056,3
3.4,30.59,327,667.7956989247,74.7495544835,3
3.33,30.59,327,654.5,79.6925712597,3
3.35,30.59,327,647.3494623656,77.9594009638,3
3.4,30.59,327,670.376344086,72.4962607828,3
3.32,30.59,327,649.9838709677,75.523511671,3
3.36,30.59,327,648.5161290323,80.27280273,3
3.48,30.59,327,656.8010752688,79.506530461,3
3.31,30.59,327,651.7204301075,79.4739919034,3
3.34,30.59,327,671.5,73.8360032528,3
3.39,30.59,327,675.9408602151,72.6178815275,3
3.59,30.59,327,645.6827956989,81.5429923199,3
3.4,30.59,549,647.1935483871,81.3431280103,3
3.29,30.57,549,627.2634408602,84.0621279269,3
3.41,30.57,549,671.1989247312,67.4209868009,3
3.35,30.59,549,653.435483871,81.6658456994,3
3.4,30.59,549,664.9569892473,77.559607875,3
3.36,30.53,549,637.4623655914,83.4044504034,3
3.31,30.59,549,638.1774193548,83.3848167364,3
3.37,30.59,549,656.7419354839,76.3076544908,3
3.31,30.63,549,685.9516129032,60.9195911298,3
3.44,30.63,549,667.1935483871,75.9480946216,3
3.41,30.63,549,633.2311827957,85.538555073,3
3.3,30.63,549,662.9623655914,75.672708414,3
3.49,30.63,549,686.8064516129,57.3999846511,3
3.39,30.63,549,642.0806451613,74.8400369506,3
3.42,30.63,549,631.9623655914,85.9040079603,3
3.34,30.63,549,631.5537634409,80.8288368896,3
3.34,30.65,549,684.3548387097,65.6665812719,3
3.35,30.64,549,641.0913978495,84.9856865316,3
3.36,30.63,549,640.247311828,80.2805773206,3
3.37,30.65,768,656.4193548387,79.2781712869,3
3.37,30.65,768,641.5806451613,83.2832738995,3
3.4,30.63,768,653.2795698925,78.1819446185,3
3.3,30.63,768,684.7311827957,63.1572776155,3
3.4,30.63,768,651.9946236559,83.1511447565,3
3.4,30.6,768,664.5752688172,82.2618245328,3
3.4,30.59,768,644.2903225806,86.9831377362,3
3.39,30.63,768,675.0806451613,69.9065347724,3
3.37,30.63,768,676.2419354839,70.4495592034,3
3.49,30.65,768,672.9408602151,67.6809541618,3
3.41,30.65,768,622.4946236559,84.6534521466,3
3.42,30.65,768,685.5698924731,63.7497455781,3
3.36,30.65,768,664.8225806452,79.6062603971,3
3.43,30.65,768,652.3064516129,83.3768982553,3
3.4,30.65,768,643.747311828,86.2474286248,3
3.46,30.65,768,641.2580645161,87.2459018017,3
3.49,30.65,768,636.0913978495,81.2665019218,3
3.49,30.65,768,682.1989247312,69.6587550088,3
3.36,30.65,768,641.564516129,84.1623407535,3
3.43,30.65,990,622.9462365591,83.6063311889,3
3.55,30.67,990,662.7849462366,71.8541457955,3
3.54,30.71,990,658.4032258065,74.219695603,3
3.38,30.71,990,648.1075268817,70.3164066212,3
3.57,30.67,990,645.7956989247,67.0756368346,3
3.46,30.67,990,648.0591397849,75.3808377244,3
3.49,30.68,990,679.9784946237,51.164078985,3
3.45,30.71,1086,650.2580645161,68.3544530529,3
3.51,30.67,1086,651.1827956989,59.4236559529,3
3.51,30.71,1086,661.2365591398,62.3731224596,3
3.4,30.71,1086,639.3387096774,63.1368057752,3
3.44,30.71,1086,653.0483870968,53.9597901127,3
3.47,30.71,1113,667.7688172043,61.4294358331,3
3.5,30.77,1113,635.0752688172,58.2450766869,3
