,current,temp,rpm
0,3.34,30.51,3.0
1,3.27,30.51,126.0
2,3.17,30.51,126.0
3,3.37,30.51,126.0
4,3.24,30.51,126.0
5,3.36,30.47,126.0
6,3.34,30.47,126.0
7,3.35,30.51,126.0
8,3.26,30.51,126.0
9,3.33,30.51,126.0
10,3.24,30.51,126.0
11,3.33,30.51,126.0
12,3.46,30.53,126.0
13,3.21,30.53,126.0
14,3.3,30.57,126.0
15,3.31,30.57,126.0
16,3.46,30.59,126.0
17,3.27,30.59,126.0
18,3.28,30.59,126.0
19,3.54,30.59,327.0
20,3.28,30.59,327.0
21,3.35,30.57,327.0
22,3.35,30.57,327.0
23,3.32,30.57,327.0
24,3.37,30.59,327.0
25,3.36,30.59,327.0
26,3.54,30.59,327.0
27,3.4,30.59,327.0
28,3.33,30.59,327.0
29,3.35,30.59,327.0
30,3.4,30.59,327.0
31,3.32,30.59,327.0
32,3.36,30.59,327.0
33,3.48,30.59,327.0
34,3.31,30.59,327.0
35,3.34,30.59,327.0
36,3.39,30.59,327.0
37,3.59,30.59,327.0
38,3.4,30.59,549.0
39,3.29,30.57,549.0
40,3.41,30.57,549.0
41,3.35,30.59,549.0
42,3.4,30.59,549.0
43,3.36,30.53,549.0
44,3.31,30.59,549.0
45,3.37,30.59,549.0
46,3.31,30.63,549.0
47,3.44,30.63,549.0
48,3.41,30.63,549.0
49,3.3,30.63,549.0
50,3.49,30.63,549.0
51,3.39,30.63,549.0
52,3.42,30.63,549.0
53,3.34,30.63,549.0
54,3.34,30.65,549.0
55,3.35,30.64,549.0
56,3.36,30.63,549.0
57,3.37,30.65,768.0
58,3.37,30.65,768.0
59,3.4,30.63,768.0
60,3.3,30.63,768.0
61,3.4,30.63,768.0
62,3.4,30.6,768.0
63,3.4,30.59,768.0
64,3.39,30.63,768.0
65,3.37,30.63,768.0
66,3.49,30.65,768.0
67,3.41,30.65,768.0
68,3.42,30.65,768.0
69,3.36,30.65,768.0
70,3.43,30.65,768.0
71,3.4,30.65,768.0
72,3.46,30.65,768.0
73,3.49,30.65,768.0
74,3.49,30.65,768.0
75,3.36,30.65,768.0
76,3.43,30.65,990.0
77,3.55,30.67,990.0
78,3.54,30.71,990.0
79,3.38,30.71,990.0
80,3.57,30.67,990.0
81,3.46,30.67,990.0
82,3.49,30.68,990.0
83,3.45,30.71,1086.0
84,3.51,30.67,1086.0
85,3.51,30.71,1086.0
86,3.4,30.71,1086.0
87,3.44,30.71,1086.0
88,3.47,30.71,1113.0
89,3.5,30.77,1113.0
90,3.4,30.77,1113.0
91,3.39,30.81,1116.0
92,3.44,30.85,1116.0
93,3.44,30.81,1116.0
94,3.41,30.84,1110.0
95,3.44,30.81,1110.0
96,3.46,30.82,1110.0
97,3.44,30.81,1110.0
98,3.41,30.85,1110.0
99,3.4,30.87,1113.0
100,3.48,30.91,1113.0
101,3.39,30.87,1113.0
102,3.37,30.91,1113.0
103,3.42,30.93,1110.0
104,3.36,30.97,1110.0
105,3.42,30.93,1110.0
106,3.4,30.95,1110.0
107,3.4,30.97,1110.0
108,3.4,30.97,1110.0
109,3.38,30.97,1110.0
110,3.38,30.93,1110.0
111,3.5,30.93,1110.0
112,3.39,30.97,1110.0
113,3.42,30.97,1110.0
114,3.4,30.97,1110.0
115,3.42,30.99,1110.0
116,3.52,30.93,1107.0
117,3.42,31.01,1107.0
118,3.45,31.01,1107.0
119,3.49,31.01,1107.0
120,3.43,31.01,1107.0
121,3.52,31.0,1107.0
122,3.44,30.99,1107.0
123,3.47,31.01,1107.0
124,3.37,31.01,1107.0
125,3.45,30.99,1107.0
126,3.44,30.99,1107.0
127,3.42,31.01,1107.0
128,3.41,31.05,1107.0
129,3.5,31.05,1107.0
130,3.34,31.07,1101.0
131,3.39,31.13,1101.0
132,3.46,31.13,1101.0
133,3.37,31.13,1101.0
134,3.45,31.13,1107.0
135,3.54,31.13,1107.0
136,3.45,31.15,1107.0
137,3.44,31.19,1107.0
138,3.47,31.15,1110.0
139,3.66,31.19,1110.0
140,3.46,31.19,1110.0
141,3.54,31.19,1110.0
142,3.46,31.25,1110.0
143,3.46,31.27,1110.0
144,3.44,31.27,1110.0
145,3.47,31.25,1107.0
146,3.58,31.27,1107.0
147,3.49,31.27,1107.0
148,3.42,31.33,1107.0
149,3.45,31.29,1107.0
150,3.51,31.29,1107.0
151,3.54,31.33,1107.0
152,3.57,31.27,1107.0
153,3.49,31.39,1104.0
154,3.56,31.39,1104.0
155,3.43,31.39,1104.0
156,3.51,31.43,1092.0
157,3.52,31.43,1092.0
158,3.48,31.43,1092.0
159,3.47,31.47,1092.0
160,3.72,31.47,1092.0
161,3.54,31.49,1092.0
162,3.68,31.49,1092.0
163,3.55,31.55,1095.0
164,3.5,31.53,1095.0
165,3.5,31.54,1098.0
166,3.53,31.53,1098.0
167,3.5,31.55,1098.0
168,3.45,31.55,1098.0
169,3.55,31.57,1098.0
170,3.47,31.61,1098.0
171,3.56,31.57,1104.0
172,3.53,31.57,1104.0
173,3.47,31.61,1104.0
174,3.46,31.61,1104.0
175,3.59,31.67,1104.0
176,3.45,31.63,1104.0
177,3.5,31.67,1104.0
178,3.48,31.69,1098.0
179,3.47,31.67,1098.0
180,3.52,31.67,1098.0
181,3.42,31.67,1098.0
182,3.43,31.67,1098.0
183,3.43,31.69,1098.0
184,3.44,31.71,1098.0
185,3.42,31.71,1098.0
186,3.42,31.81,1104.0
187,3.58,31.81,1104.0
188,3.56,31.81,1104.0
189,3.4,31.77,1104.0
190,3.55,31.81,1104.0
191,3.44,31.81,1104.0
192,3.45,31.77,1104.0
193,3.52,31.81,1113.0
194,3.5,31.81,1113.0
