,current,temp,rpm
0,0.02,26.91,120.0
1,0.02,26.91,120.0
2,0.02,26.91,120.0
3,0.02,26.93,120.0
4,0.02,26.93,114.0
5,0.02,26.91,114.0
6,0.02,26.93,114.0
7,0.02,26.93,114.0
8,0.02,26.91,114.0
9,0.02,26.91,114.0
10,0.02,26.93,114.0
11,0.02,26.93,114.0
12,0.02,26.93,114.0
13,0.02,26.93,114.0
14,0.02,26.93,114.0
15,0.02,26.93,114.0
16,0.02,26.93,114.0
17,0.02,26.93,114.0
18,0.02,26.93,42.0
19,0.02,26.93,42.0
20,0.02,26.97,42.0
21,0.02,26.93,42.0
22,0.02,26.93,42.0
23,0.02,26.93,42.0
24,0.02,26.93,42.0
25,0.02,26.91,42.0
26,0.02,26.93,42.0
27,0.02,26.95,42.0
28,0.02,26.93,0.0
29,0.02,26.93,0.0
30,0.02,26.93,0.0
31,2.25,26.93,0.0
32,2.4,26.93,0.0
33,2.54,26.93,0.0
34,2.69,26.97,0.0
35,3.12,26.97,66.0
36,3.14,26.97,207.0
37,2.95,26.99,366.0
38,3.01,26.99,366.0
39,3.22,27.03,543.0
40,3.22,27.05,543.0
41,3.17,27.05,543.0
42,3.25,27.09,747.0
43,3.34,27.15,747.0
44,3.47,27.15,927.0
45,3.38,27.15,927.0
46,3.36,27.17,927.0
47,3.55,27.21,927.0
48,3.46,27.21,1062.0
49,3.57,27.17,1062.0
50,3.58,27.18,1062.0
51,3.46,27.21,1062.0
52,3.58,27.23,1200.0
53,3.75,27.31,1509.0
54,3.66,27.31,1509.0
55,3.74,27.35,1509.0
56,3.77,27.37,1509.0
57,3.73,27.41,1671.0
58,3.77,27.41,1671.0
59,3.71,27.41,1671.0
60,3.8,27.41,1671.0
61,3.93,27.46,2052.0
62,3.99,27.47,2052.0
63,4.11,27.47,2052.0
64,4.02,27.59,2586.0
65,4.13,27.64,2901.0
66,4.16,27.63,2901.0
67,4.27,27.84,3855.0
68,4.34,27.87,4134.0
69,4.3,27.87,4134.0
70,4.23,27.91,4134.0
71,4.54,27.93,4425.0
72,4.42,27.93,4425.0
73,4.51,27.93,4425.0
74,4.37,27.95,4425.0
75,4.35,28.08,4998.0
76,4.52,28.25,5004.0
77,4.41,28.31,4893.0
78,4.5,28.43,4260.0
79,4.53,28.39,4260.0
80,4.45,28.45,4260.0
81,4.5,28.45,4260.0
82,4.44,28.45,4260.0
83,4.43,28.43,3780.0
84,4.38,28.43,3780.0
85,4.38,28.47,3780.0
86,4.34,28.47,3780.0
87,4.29,28.51,3780.0
88,4.25,28.53,3780.0
89,4.27,28.51,3189.0
90,4.18,28.53,3189.0
91,4.21,28.53,3189.0
92,4.14,28.53,3189.0
93,3.93,28.59,2562.0
94,4.25,28.69,1953.0
95,4.43,28.75,1689.0
96,4.33,28.71,1689.0
97,4.53,28.75,1689.0
98,4.47,28.78,1689.0
99,4.45,28.79,1689.0
100,4.54,28.79,1719.0
101,4.43,28.79,1719.0
102,4.45,28.79,1719.0
103,4.4,28.79,1719.0
104,4.41,28.83,2007.0
105,4.43,28.85,2007.0
106,4.46,28.85,2007.0
107,4.49,28.85,2493.0
108,4.48,28.91,2493.0
109,4.34,28.95,2493.0
110,4.2,28.95,2493.0
111,4.22,29.02,3966.0
112,4.21,29.04,4440.0
113,4.25,29.05,4440.0
114,4.26,29.03,4440.0
115,4.35,29.03,4440.0
116,4.4,29.09,4440.0
117,4.22,29.09,4440.0
118,4.2,29.09,4440.0
119,4.34,29.09,4440.0
120,4.22,29.09,4785.0
121,4.29,29.09,4785.0
122,4.39,29.09,4785.0
123,4.35,29.09,4785.0
124,4.18,29.09,4785.0
125,4.29,29.09,4785.0
126,4.31,29.09,4785.0
127,4.25,29.09,4785.0
128,4.32,29.09,4785.0
129,4.29,29.09,4785.0
130,4.15,29.09,4785.0
131,4.29,29.09,4785.0
132,4.35,29.09,4785.0
