,vibration
0,657
1,657
2,657
3,657
4,658
5,658
6,657
7,657
8,656
9,656
10,657
11,657
12,655
13,656
14,657
15,656
16,656
17,658
18,656
19,657
20,657
21,658
22,657
23,658
24,658
25,658
26,658
27,657
28,657
29,657
30,657
31,656
32,656
33,657
34,657
35,657
36,657
37,657
38,658
39,658
40,657
41,657
42,657
43,657
44,657
45,657
46,657
47,657
48,657
49,657
50,658
51,658
52,657
53,657
54,657
55,657
56,657
57,657
58,658
59,657
60,657
61,657
62,657
63,657
64,658
65,657
66,657
67,657
68,657
69,656
70,657
71,657
72,657
73,658
74,658
75,658
76,658
77,657
78,657
79,657
80,657
81,657
82,656
83,656
84,656
85,657
86,658
87,657
88,657
89,657
90,658
91,657
92,657
93,656
94,656
95,656
96,657
97,657
98,657
99,657
100,657
101,657
102,657
103,657
104,657
105,657
106,657
107,657
108,658
109,657
110,658
111,657
112,657
113,657
114,657
115,658
116,657
117,657
118,657
119,657
120,656
121,656
122,656
123,657
124,657
125,657
126,657
127,658
128,657
129,658
130,657
131,658
132,658
133,657
134,656
135,657
136,657
137,657
138,657
139,658
140,657
141,657
142,657
143,659
144,657
145,657
146,657
147,657
148,657
149,657
150,657
151,657
152,657
153,657
154,658
155,657
156,658
157,658
158,658
159,657
160,658
161,658
162,657
163,657
164,657
165,657
166,657
167,657
168,659
169,657
170,658
171,657
172,657
173,658
174,657
175,657
176,657
177,657
178,656
179,657
180,657
181,656
182,656
183,657
184,657
185,657
186,657
187,657
188,657
189,657
190,657
191,657
192,656
193,657
194,657
195,656
196,657
197,657
198,657
199,657
200,657
201,657
202,657
203,657
204,656
205,657
206,657
207,657
208,658
209,658
210,656
211,658
212,658
213,657
214,658
215,657
216,658
217,658
218,658
219,658
220,658
221,658
222,658
223,658
224,658
225,657
226,657
227,655
228,657
229,657
230,658
231,657
232,658
233,658
234,657
235,658
236,658
237,658
238,658
239,658
240,658
241,657
242,657
243,658
244,658
245,658
246,658
247,657
248,657
249,656
250,657
251,657
252,657
253,657
254,657
255,657
256,656
257,657
258,658
259,658
260,658
261,657
262,658
263,657
264,657
265,658
266,657
267,657
268,657
269,657
270,657
271,657
272,657
273,657
274,657
275,657
276,657
277,657
278,656
279,656
280,657
281,656
282,657
283,657
284,657
285,656
286,657
287,658
288,657
289,657
290,657
291,657
292,656
293,656
294,656
295,657
296,657
297,657
298,657
299,657
300,657
301,657
302,657
303,657
304,657
305,657
306,657
307,657
308,657
309,657
310,656
311,657
312,657
313,657
314,657
315,658
316,657
317,657
318,658
319,657
320,657
321,658
322,657
323,659
324,658
325,657
326,657
327,657
328,657
329,657
330,657
331,657
332,657
333,657
334,656
335,656
336,656
337,657
338,657
339,657
340,657
341,657
342,657
343,657
344,657
345,658
346,657
347,658
348,657
349,657
350,657
351,657
352,657
353,657
354,657
355,657
356,657
357,657
358,658
359,657
360,657
361,657
362,657
363,657
364,657
365,657
366,657
367,657
368,657
369,657
370,658
371,658
372,658
373,657
374,656
375,656
376,657
377,656
378,656
379,657
380,658
381,656
382,657
383,657
384,657
385,657
386,657
387,657
388,657
389,657
390,657
391,656
392,656
393,656
394,656
395,656
396,656
397,656
398,657
399,656
400,656
401,657
402,656
403,656
404,656
405,656
406,656
407,657
408,656
409,657
410,657
411,657
412,657
413,657
414,658
415,657
416,657
417,657
418,657
419,657
420,657
421,657
422,657
423,658
424,657
425,657
426,658
427,657
428,657
429,657
430,657
431,657
432,657
433,657
434,657
435,657
436,657
437,657
438,657
439,657
440,657
441,657
442,655
443,657
444,657
445,657
446,657
447,657
