,current,temp,rpm
0,1.53,35.37,0.0
1,1.33,35.39,99.0
2,1.13,35.39,99.0
3,0.98,35.43,99.0
4,0.9,35.39,672.0
5,0.84,35.39,672.0
6,0.8,35.39,1407.0
7,0.81,35.39,1407.0
8,0.88,35.43,2187.0
9,0.8,35.39,2187.0
10,1.03,35.43,3018.0
11,0.92,35.38,3018.0
12,0.79,35.43,3720.0
13,1.13,35.39,4044.0
14,1.15,35.43,4080.0
15,1.15,35.43,4080.0
16,1.14,35.4,4080.0
17,1.16,35.43,4095.0
18,1.19,35.43,4134.0
19,1.17,35.43,4134.0
20,1.16,35.43,4134.0
21,1.27,35.43,4161.0
22,1.18,35.43,4161.0
23,1.18,35.43,4161.0
24,1.2,35.43,4161.0
25,1.19,35.43,4170.0
26,1.18,35.43,4170.0
27,1.19,35.43,4170.0
28,1.17,35.43,4170.0
29,1.18,35.43,4230.0
30,1.19,35.45,4254.0
31,1.2,35.45,4254.0
32,1.19,35.45,4254.0
33,1.2,35.43,4302.0
34,1.2,35.47,4302.0
35,1.2,35.45,4302.0
36,1.19,35.45,4446.0
37,1.17,35.45,4446.0
38,1.27,35.43,4446.0
39,1.18,35.43,4467.0
40,1.2,35.53,4458.0
41,1.23,35.55,4458.0
42,1.27,35.53,4389.0
43,1.13,35.55,4389.0
44,1.02,35.53,4389.0
45,1.0,35.59,4389.0
46,1.48,35.55,4314.0
47,1.12,35.61,4314.0
48,1.03,35.61,4314.0
49,1.08,35.59,4284.0
50,1.07,35.59,4284.0
51,1.08,35.59,4284.0
52,1.08,35.61,4284.0
53,1.13,35.59,4284.0
54,1.07,35.59,4284.0
55,1.08,35.59,4284.0
56,1.08,35.59,4284.0
57,1.05,35.61,4284.0
58,1.07,35.61,4284.0
59,1.1,35.61,4284.0
60,1.11,35.61,4284.0
61,1.05,35.59,4284.0
62,1.06,35.59,4284.0
63,1.08,35.59,4284.0
64,1.09,35.59,4284.0
65,1.1,35.59,4266.0
66,1.1,35.61,4266.0
67,1.11,35.61,4266.0
68,1.1,35.59,4266.0
69,1.17,35.59,4266.0
70,1.12,35.59,4266.0
71,1.09,35.59,4266.0
72,1.09,35.61,4266.0
73,1.08,35.61,4266.0
74,1.1,35.61,4266.0
75,1.16,35.6,4266.0
76,1.15,35.59,4266.0
77,1.13,35.59,4266.0
78,1.1,35.59,4266.0
79,1.14,35.59,4266.0
80,1.1,35.59,4266.0
81,1.07,35.59,4266.0
82,1.09,35.61,4266.0
83,1.1,35.61,4266.0
84,1.14,35.59,4275.0
85,1.08,35.59,4275.0
86,1.1,35.59,4275.0
87,1.12,35.59,4275.0
88,1.13,35.59,4275.0
