,vibration
0,675
1,674
2,675
3,675
4,675
5,675
6,676
7,677
8,677
9,694
10,687
11,680
12,675
13,674
14,676
15,681
16,686
17,690
18,692
19,690
20,682
21,669
22,657
23,649
24,645
25,647
26,654
27,666
28,678
29,689
30,695
31,697
32,695
33,689
34,681
35,675
36,671
37,670
38,674
39,683
40,694
41,705
42,716
43,725
44,729
45,728
46,722
47,712
48,701
49,687
50,670
51,651
52,635
53,622
54,612
55,605
56,606
57,615
58,628
59,671
60,685
61,700
62,715
63,724
64,726
65,720
66,711
67,701
68,695
69,692
70,692
71,695
72,699
73,701
74,701
75,697
76,690
77,679
78,666
79,652
80,637
81,623
82,613
83,607
84,605
85,605
86,611
87,621
88,632
89,640
90,649
91,661
92,674
93,685
94,693
95,696
96,696
97,696
98,697
99,696
100,695
101,695
102,699
103,703
104,704
105,701
106,696
107,690
108,684
109,663
110,681
111,697
112,704
113,707
114,705
115,702
116,696
117,692
118,690
119,691
120,696
121,702
122,706
123,707
124,709
125,708
126,706
127,699
128,686
129,670
130,656
131,648
132,644
133,642
134,642
135,648
136,658
137,670
138,679
139,685
140,691
141,696
142,699
143,695
144,683
145,667
146,655
147,647
148,645
149,652
150,667
151,684
152,700
153,715
154,724
155,726
156,725
157,721
158,716
159,689
160,685
161,681
162,679
163,680
164,681
165,685
166,693
167,700
168,706
169,711
170,715
171,716
172,713
173,705
174,691
175,672
176,654
177,642
178,636
179,635
180,634
181,633
182,634
183,637
184,640
185,643
186,646
187,652
188,657
189,656
190,651
191,650
192,657
193,667
194,675
195,683
196,695
197,710
198,719
199,718
200,708
201,699
202,692
203,684
204,674
205,669
206,669
207,674
208,684
209,699
210,689
211,676
212,667
213,662
214,659
215,659
216,661
217,661
218,663
219,667
220,671
221,673
222,672
223,669
224,665
225,661
226,655
227,654
228,659
229,668
230,677
231,686
232,694
233,700
234,706
235,710
236,709
237,708
238,707
239,706
240,699
241,689
242,675
243,661
244,649
245,642
246,641
247,647
248,656
249,666
250,669
251,665
252,653
253,635
254,615
255,598
256,593
257,598
258,611
259,682
260,678
261,674
262,665
263,655
264,650
265,654
266,662
267,667
268,665
269,659
270,659
271,670
272,683
273,688
274,687
275,689
276,695
277,701
278,702
279,695
280,688
281,686
282,688
283,691
284,694
285,697
286,697
287,699
288,704
289,705
290,696
291,684
292,675
293,664
294,650
295,638
296,631
297,627
298,626
299,624
300,617
301,612
302,614
303,620
304,629
305,641
306,652
307,663
308,676
309,660
310,669
311,681
312,690
313,699
314,701
315,701
316,699
317,698
318,694
319,690
320,688
321,690
322,691
323,688
324,683
325,680
326,684
327,691
328,699
329,705
330,706
331,705
332,702
333,694
334,679
335,661
336,642
337,623
338,604
339,594
340,597
341,606
342,613
343,621
344,632
345,645
346,660
347,672
348,675
349,677
350,685
351,695
352,700
353,699
354,697
355,698
356,702
357,706
358,704
359,668
360,656
361,650
362,649
363,654
364,657
365,659
366,666
367,675
368,680
369,678
370,674
371,672
372,676
373,683
374,687
375,691
376,697
377,705
378,704
379,695
380,686
381,682
382,686
383,693
384,696
385,695
386,696
387,697
388,692
389,680
390,669
391,657
392,648
393,641
394,634
395,625
396,620
397,618
398,620
399,624
400,628
401,632
402,639
403,650
404,660
405,668
406,676
407,685
408,693
409,632
410,628
411,630
412,632
413,632
414,633
415,638
416,643
417,641
418,636
419,640
420,650
421,658
422,661
423,660
424,663
425,670
426,679
427,688
428,696
429,705
430,714
431,717
432,714
433,710
434,705
435,703
436,702
437,698
438,693
439,692
440,688
441,680
442,671
443,662
444,661
445,668
446,675
447,681
448,682
449,677
450,671
451,666
452,664
453,661
454,658
455,662
456,668
457,671
458,677
459,672
460,677
461,688
462,695
463,690
464,683
465,685
466,689
467,686
468,684
469,689
470,693
471,694
472,695
473,692
474,687
475,682
476,676
477,669
478,667
479,669
480,672
481,675
482,667
483,651
484,639
485,639
486,640
487,633
488,622
489,617
490,623
491,633
492,644
493,658
494,676
495,696
496,716
497,724
498,721
499,714
500,712
501,708
502,703
503,697
504,698
505,703
506,703
507,696
508,686
509,653
510,642
511,637
512,634
513,628
514,621
515,620
516,626
517,637
518,649
519,659
520,671
521,685
522,698
523,705
524,703
525,700
526,702
527,705
528,706
529,701
530,697
531,698
532,703
533,705
534,702
535,696
536,695
537,704
538,710
539,706
540,697
541,687
542,676
543,666
544,659
545,656
546,660
547,667
548,671
549,672
550,672
551,675
552,680
553,684
554,680
555,671
556,670
557,680
558,684
559,684
560,685
561,690
562,697
563,702
564,702
565,702
566,700
567,697
568,692
569,686
570,681
571,682
572,695
573,711
574,719
575,716
576,709
577,704
578,693
579,676
580,657
581,645
582,641
583,640
584,640
585,637
586,633
587,633
588,636
589,636
590,636
591,642
592,658
593,674
594,686
595,693
596,698
597,703
598,712
599,719
600,721
601,720
602,715
603,708
604,699
605,691
606,688
607,689
608,689
609,684
610,684
611,681
612,682
613,685
614,688
615,687
616,683
617,681
618,683
619,686
620,690
621,696
622,702
623,705
624,707
625,705
626,698
627,694
628,695
629,697
630,698
631,694
632,684
633,674
634,667
635,657
636,647
637,642
638,644
639,644
640,640
641,635
642,630
643,622
644,617
645,620
646,628
647,634
648,640
649,645
650,649
651,659
652,675
653,687
654,695
655,704
656,709
657,702
658,694
659,686
660,688
661,692
662,693
663,691
664,690
665,689
666,690
667,693
668,693
669,691
670,692
671,692
672,687
673,680
674,675
675,671
676,667
677,662
678,660
679,662
680,657
681,641
682,624
683,619
684,621
685,617
686,613
687,615
688,625
689,642
690,658
691,670
692,682
693,693
694,699
695,703
696,705
697,704
698,706
699,708
700,702
701,694
702,692
703,692
704,690
705,688
706,688
707,688
708,695
709,692
710,684
711,677
712,674
713,671
714,666
715,660
716,662
717,669
718,672
719,671
720,667
721,662
722,664
723,666
724,656
725,643
726,643
727,657
728,672
729,679
730,678
731,680
732,686
733,690
734,687
735,684
736,687
737,692
738,693
739,688
740,679
741,678
742,686
743,686
744,675
745,664
746,664
747,668
748,666
749,658
750,652
751,649
752,646
753,641
754,632
755,623
756,624
757,633
758,639
759,672
760,675
761,674
762,675
763,679
764,677
765,673
766,673
767,678
768,682
769,682
770,675
771,665
772,667
773,677
774,685
775,689
776,688
777,687
778,691
779,695
780,688
781,681
782,683
783,686
784,682
785,678
786,675
787,677
788,682
789,686
790,680
791,666
792,652
793,640
794,631
795,628
796,623
797,612
798,604
799,607
800,620
801,638
802,655
803,670
804,685
805,698
806,704
807,709
808,717
809,693
810,691
811,692
812,695
813,700
814,700
815,684
816,663
817,659
818,666
819,667
820,657
821,647
822,640
823,637
824,632
825,621
826,610
827,614
828,631
829,649
830,662
831,672
832,686
833,702
834,706
835,698
836,690
837,690
838,697
839,705
840,705
841,703
842,706
843,709
844,706
845,700
846,694
847,688
848,685
849,681
850,673
851,669
852,669
853,673
854,679
855,680
856,675
857,671
858,668
859,688
860,686
861,683
862,681
863,687
864,693
865,693
866,687
867,681
868,679
869,682
870,685
871,681
872,670
873,662
874,662
875,663
876,662
877,664
878,673
879,680
880,684
881,688
882,694
883,697
884,697
885,691
886,684
887,679
888,677
889,675
890,673
891,671
892,673
893,678
894,685
895,689
896,693
897,695
898,695
899,690
900,682
901,671
902,659
903,652
904,645
905,637
906,631
907,627
908,624
909,673
910,680
911,693
912,704
913,701
914,691
915,688
916,694
917,693
918,682
919,673
920,673
921,678
922,679
923,677
924,684
925,700
926,706
927,700
928,689
929,677
930,671
931,669
932,658
933,640
934,635
935,638
936,629
937,617
938,615
939,622
940,637
941,658
942,672
943,681
944,692
945,709
946,721
947,725
948,720
949,705
950,687
951,675
952,670
953,669
954,668
955,665
956,668
957,676
958,682
959,691
960,691
961,684
962,672
963,665
964,660
965,659
966,659
967,658
968,655
969,656
970,656
971,656
972,660
973,671
974,687
975,698
976,703
977,703
978,705
979,705
980,698
981,691
982,695
983,703
984,698
985,691
986,696
987,705
988,705
989,702
990,702
991,698
992,697
993,701
994,699
995,693
996,688
997,682
998,671
999,662
1000,654
1001,646
1002,643
1003,641
1004,633
1005,624
1006,619
1007,617
1008,617
1009,692
1010,693
1011,689
1012,684
1013,685
1014,690
1015,692
1016,692
1017,691
1018,688
1019,684
1020,682
1021,678
1022,676
1023,677
1024,677
1025,672
1026,672
1027,676
1028,677
1029,679
1030,678
1031,672
1032,669
1033,678
1034,685
1035,683
1036,680
1037,682
1038,687
1039,689
1040,687
1041,680
1042,675
1043,677
