,current,temp,rpm
0,0.94,34.17,261.0
1,0.98,34.15,261.0
2,0.85,34.15,261.0
3,0.82,34.13,261.0
4,0.91,34.15,777.0
5,0.81,34.15,777.0
6,0.83,34.14,777.0
7,0.78,34.17,1356.0
8,0.82,34.15,1356.0
9,0.78,34.13,1356.0
10,0.86,34.15,1965.0
11,0.88,34.21,1965.0
12,0.8,34.17,2562.0
13,0.77,34.17,2562.0
14,0.77,34.17,2562.0
15,0.76,34.21,2901.0
16,0.8,34.21,2901.0
17,0.79,34.21,2901.0
18,0.8,34.23,2901.0
19,0.83,34.21,2985.0
20,0.85,34.24,2985.0
21,0.87,34.23,2985.0
22,0.79,34.22,2985.0
23,0.79,34.25,3012.0
24,0.79,34.21,3012.0
25,0.77,34.21,3012.0
26,0.78,34.23,3012.0
27,0.82,34.23,3009.0
28,0.8,34.21,3009.0
29,0.81,34.23,3009.0
30,0.77,34.23,3009.0
31,0.91,34.23,3009.0
32,0.87,34.29,3009.0
33,0.87,34.25,3003.0
34,0.83,34.25,3003.0
35,0.75,34.25,3003.0
36,0.77,34.25,3009.0
37,0.91,34.29,3009.0
38,0.87,34.25,3009.0
39,0.96,34.23,3024.0
40,0.89,34.23,3024.0
41,0.87,34.23,3024.0
42,0.95,34.25,3024.0
43,0.97,34.26,3024.0
44,0.87,34.25,3024.0
45,0.94,34.23,3024.0
46,0.9,34.25,3024.0
47,0.94,34.23,3024.0
48,0.9,34.25,3024.0
49,0.98,34.25,3024.0
50,0.9,34.25,3024.0
51,0.99,34.31,3024.0
52,0.97,34.29,3024.0
53,0.93,34.29,3024.0
54,0.86,34.31,3024.0
55,0.89,34.31,3024.0
56,0.88,34.31,3030.0
57,0.87,34.31,3030.0
58,0.9,34.29,3030.0
59,0.92,34.31,3021.0
60,0.9,34.3,3015.0
61,0.9,34.34,3015.0
62,0.96,34.33,3015.0
63,0.93,34.33,3015.0
64,0.9,34.33,3012.0
65,0.94,34.33,3012.0
66,0.94,34.33,3012.0
67,0.91,34.33,3012.0
68,0.89,34.31,3012.0
69,0.86,34.33,3006.0
70,0.88,34.33,3006.0
71,0.89,34.33,3006.0
72,0.86,34.33,3018.0
73,0.93,34.33,3018.0
74,0.91,34.37,3018.0
75,0.93,34.33,3018.0
76,0.85,34.33,3018.0
77,0.86,34.33,3027.0
78,0.87,34.33,3027.0
79,0.86,34.33,3027.0
80,0.88,34.33,3027.0
81,0.85,34.34,3027.0
82,0.86,34.31,3027.0
83,0.96,34.33,3027.0
84,0.91,34.31,3018.0
85,0.83,34.37,3018.0
86,0.85,34.37,3018.0
87,0.83,34.39,3018.0
88,0.91,34.39,3018.0
89,0.82,34.37,3018.0
90,0.87,34.36,3018.0
91,0.85,34.33,3018.0
92,0.85,34.33,3027.0
93,0.85,34.33,3027.0
94,0.89,34.31,3027.0
95,0.9,34.37,3027.0
96,0.82,34.37,3027.0
97,1.23,34.33,3042.0
98,1.25,34.33,3042.0
99,0.89,34.37,3042.0
100,0.9,34.37,3042.0
101,0.85,34.33,3048.0
102,0.85,34.33,3048.0
103,0.77,34.37,3048.0
104,0.8,34.37,3048.0
105,0.9,34.37,3057.0
106,0.82,34.39,3057.0
107,0.83,34.37,3057.0
108,0.8,34.39,3063.0
109,0.81,34.39,3063.0
110,0.76,34.43,3063.0
111,0.8,34.43,3063.0
112,0.77,34.39,3063.0
113,0.83,34.39,3063.0
114,0.79,34.39,3063.0
115,0.79,34.4,3063.0
116,0.79,34.43,3063.0
117,0.78,34.37,3063.0
118,0.8,34.43,3063.0
119,0.77,34.43,3042.0
120,0.78,34.39,3042.0
121,0.79,34.39,3042.0
122,0.81,34.45,3042.0
123,0.84,34.45,3033.0
124,0.83,34.39,3033.0
125,0.8,34.45,3015.0
126,0.86,34.45,3015.0
127,0.78,34.45,3015.0
128,0.83,34.45,3030.0
129,0.79,34.45,3030.0
130,0.82,34.45,3030.0
131,0.76,34.45,3030.0
132,0.77,34.45,3030.0
133,0.81,34.45,3030.0
134,0.79,34.45,3030.0
135,0.78,34.45,3027.0
136,0.77,34.45,3027.0
137,0.76,34.47,3027.0
138,0.77,34.45,3027.0
139,0.84,34.45,3027.0
140,0.93,34.45,3027.0
141,1.01,34.45,3027.0
142,0.82,34.43,3048.0
143,0.8,34.43,3048.0
144,0.79,34.45,3048.0
145,0.84,34.45,3048.0
146,0.8,34.45,3042.0
147,0.82,34.45,3042.0
148,0.79,34.47,3042.0
149,0.8,34.45,3042.0
150,0.8,34.45,3042.0
151,1.02,34.45,3048.0
152,1.08,34.45,3048.0
153,1.11,34.51,3048.0
154,1.13,34.45,3048.0
155,1.06,34.45,3039.0
156,1.05,34.45,3039.0
157,1.08,34.45,3039.0
158,1.1,34.43,3039.0
159,1.1,34.43,3039.0
160,1.05,34.43,3039.0
161,1.07,34.45,3039.0
162,1.09,34.45,3039.0
163,1.15,34.45,3039.0
164,1.06,34.45,3060.0
165,1.13,34.45,3060.0
166,1.11,34.47,3060.0
167,1.15,34.51,3054.0
168,1.14,34.47,3054.0
169,1.19,34.47,3054.0
170,1.24,34.51,3054.0
171,1.19,34.51,3054.0
172,1.2,34.47,3054.0
173,1.19,34.47,3054.0
174,1.23,34.47,3054.0
175,1.22,34.45,3054.0
176,1.21,34.53,3021.0
177,1.21,34.55,3021.0
178,1.16,34.55,3021.0
179,1.21,34.55,3021.0
180,1.19,34.55,3021.0
181,1.21,34.58,3021.0
182,1.19,34.55,3021.0
183,1.19,34.55,3021.0
184,1.22,34.59,3018.0
185,1.25,34.63,3024.0
186,1.22,34.63,3024.0
187,1.23,34.63,3027.0
188,1.13,34.63,3018.0
189,1.1,34.63,3018.0
190,1.08,34.64,3018.0
191,1.12,34.67,3018.0
192,1.19,34.63,3018.0
193,1.07,34.67,3018.0
194,0.95,34.63,3042.0
195,0.99,34.69,3042.0
196,0.98,34.67,3042.0
197,1.44,34.67,3042.0
198,1.43,34.67,3075.0
199,1.38,34.67,3075.0
200,1.25,34.63,3075.0
201,1.22,34.63,3075.0
202,1.2,34.67,3075.0
203,1.23,34.67,3075.0
204,1.2,34.69,3075.0
205,1.21,34.69,3075.0
206,1.27,34.67,3072.0
207,1.32,34.63,3072.0
208,1.38,34.67,3072.0
209,1.37,34.69,3072.0
210,1.34,34.63,3066.0
211,1.33,34.67,3066.0
212,1.37,34.67,3066.0
213,1.39,34.67,3066.0
214,1.4,34.67,3045.0
215,1.32,34.67,3045.0
216,1.27,34.67,3045.0
217,1.42,34.67,3045.0
218,1.34,34.63,3045.0
219,1.37,34.67,3045.0
220,1.46,34.67,3048.0
221,1.38,34.67,3048.0
222,1.4,34.67,3048.0
223,1.45,34.69,3063.0
224,1.41,34.69,3063.0
225,1.34,34.69,3072.0
226,1.52,34.75,3072.0
227,1.45,34.77,3072.0
228,1.39,34.71,3072.0
229,1.31,34.69,3069.0
230,1.42,34.75,3069.0
231,1.4,34.75,3069.0
232,1.37,34.69,3069.0
233,1.42,34.77,3069.0
234,1.29,34.81,3054.0
235,1.34,34.77,3054.0
236,1.3,34.81,3054.0
237,1.35,34.81,3054.0
238,1.36,34.81,3054.0
239,1.32,34.81,3054.0
240,0.8,34.81,3054.0
241,0.82,34.81,3039.0
242,0.77,34.81,3039.0
243,1.26,34.81,3042.0
244,1.31,34.81,3042.0
245,1.35,34.81,3042.0
246,1.39,34.83,3042.0
247,1.55,34.89,3039.0
248,1.56,34.85,3039.0
249,1.6,34.85,3039.0
250,1.56,34.85,3018.0
251,1.54,34.83,3018.0
252,1.6,34.83,3018.0
253,1.66,34.85,3018.0
254,1.51,34.85,3018.0
255,1.59,34.85,3012.0
256,1.69,34.84,3012.0
257,1.68,34.85,3012.0
258,1.73,34.89,3006.0
259,1.53,34.91,3006.0
260,1.66,34.89,3006.0
261,1.59,34.89,3006.0
262,1.54,34.89,3006.0
263,1.55,34.89,3006.0
264,1.59,34.91,3033.0
265,1.65,34.91,3033.0
266,1.59,34.91,3033.0
267,1.74,34.91,3033.0
268,1.54,34.93,3033.0
269,1.47,34.93,3033.0
270,1.62,34.91,3033.0
271,1.66,34.91,3033.0
272,1.64,34.93,3033.0
273,1.59,34.93,3039.0
274,1.54,34.93,3039.0
275,1.58,34.91,3039.0
276,1.62,34.93,3039.0
277,1.58,34.93,3039.0
278,1.59,34.93,3039.0
