,vibration
0,684
1,687
2,689
3,692
4,694
5,697
6,698
7,698
8,695
9,692
10,687
11,681
12,677
13,675
14,675
15,677
16,681
17,685
18,663
19,659
20,663
21,671
22,677
23,676
24,669
25,668
26,676
27,686
28,696
29,702
30,696
31,688
32,689
33,694
34,695
35,693
36,691
37,691
38,693
39,696
40,696
41,693
42,685
43,674
44,671
45,677
46,682
47,678
48,671
49,664
50,654
51,646
52,644
53,646
54,643
55,634
56,625
57,625
58,631
59,640
60,653
61,665
62,672
63,674
64,676
65,678
66,682
67,686
68,674
69,677
70,682
71,684
72,684
73,679
74,674
75,673
76,672
77,673
78,674
79,675
80,677
81,675
82,667
83,659
84,660
85,666
86,668
87,670
88,677
89,682
90,683
91,682
92,679
93,675
94,676
95,679
96,685
97,691
98,694
99,691
100,684
101,678
102,675
103,674
104,673
105,674
106,680
107,686
108,684
109,679
110,679
111,679
112,673
113,667
114,661
115,653
116,642
117,637
118,644
119,632
120,625
121,627
122,633
123,639
124,650
125,665
126,677
127,685
128,691
129,697
130,701
131,701
132,697
133,695
134,697
135,694
136,682
137,669
138,664
139,668
140,675
141,682
142,681
143,679
144,680
145,683
146,681
147,673
148,666
149,660
150,654
151,651
152,657
153,659
154,649
155,644
156,652
157,665
158,675
159,685
160,691
161,693
162,695
163,692
164,688
165,687
166,686
167,679
168,678
169,681
170,680
171,681
172,683
173,680
174,680
175,686
176,696
177,701
178,696
179,681
180,671
181,667
182,662
183,656
184,657
185,662
186,661
187,654
188,646
189,645
190,646
191,648
192,653
193,662
194,672
195,678
196,676
197,673
198,674
199,678
200,685
201,691
202,692
203,692
204,693
205,691
206,686
207,684
208,682
209,678
210,675
211,676
212,681
213,685
214,683
215,674
216,663
217,662
218,678
219,678
220,675
221,673
222,674
223,676
224,677
225,677
226,675
227,672
228,669
229,665
230,663
231,665
232,666
233,661
234,658
235,661
236,672
237,684
238,689
239,689
240,689
241,694
242,699
243,697
244,693
245,695
246,699
247,697
248,693
249,694
250,689
251,681
252,680
253,688
254,691
255,685
256,677
257,673
258,671
259,669
260,667
261,661
262,650
263,642
264,641
265,640
266,633
267,627
268,662
269,657
270,660
271,652
272,638
273,638
274,651
275,654
276,648
277,649
278,661
279,667
280,659
281,653
282,657
283,664
284,668
285,672
286,681
287,689
288,687
289,679
290,676
291,676
292,680
293,688
294,692
295,692
296,690
297,684
298,675
299,671
300,671
301,667
302,658
303,652
304,656
305,664
306,664
307,661
308,664
309,672
310,676
311,676
312,679
313,683
314,678
315,667
316,660
317,665
318,663
319,661
320,665
321,669
322,666
323,665
324,669
325,674
326,675
327,674
328,674
329,674
330,674
331,677
332,681
333,684
334,687
335,688
336,687
337,684
338,683
339,688
340,692
341,688
342,683
343,682
344,682
345,681
346,682
347,684
348,683
349,678
350,674
351,671
352,663
353,653
354,646
355,645
356,649
357,652
358,648
359,641
360,638
361,642
362,652
363,664
