,curr,temp,rpm,vibr_var,classifier
0,0.06,37.51,0.0,0.2716636436276518,1
1,0.03,37.53,0.0,0.2850701754386405,1
2,0.02,37.51,0.0,0.2650526315791371,1
3,0.02,37.53,0.0,0.22008771929860832,1
4,0.02,37.53,0.0,0.36696491228091244,1
5,0.02,37.53,0.0,0.2698771929824282,1
6,0.02,37.53,0.0,0.5900000000007812,1
7,0.02,37.51,0.0,1.372491228071002,1
8,0.02,37.53,0.0,1.9028596491217573,1
9,0.02,37.53,0.0,1.4750175438592301,1
10,0.02,37.53,0.0,1.1925087719322975,1
11,0.02,37.53,0.0,1.2288947368437657,1
12,0.02,37.51,0.0,1.2256491228077289,1
13,0.02,37.51,0.0,0.8602105263134623,1
14,0.02,37.51,0.0,0.7308771929747379,1
15,0.02,37.51,0.0,0.4268245613928454,1
16,0.02,37.55,0.0,0.7780877192940637,1
17,0.02,37.51,0.0,2.7412456140342396,1
18,0.02,37.53,0.0,1.0702631578874524,1
19,0.02,37.53,0.0,0.9358596491203105,1
20,0.02,37.51,0.0,1.3385087719268263,1
21,0.02,37.51,0.0,1.1551403508792422,1
22,0.02,37.51,0.0,30.22263157894357,1
23,0.02,37.51,0.0,32.13628070175107,1
24,0.02,37.51,0.0,45.936368421044136,1
25,0.02,37.55,0.0,58.17170175436534,1
26,0.02,37.51,0.0,87.22050877190969,1
27,0.02,37.53,0.0,139.23715789474923,1
28,0.02,37.51,0.0,167.04612280700152,1
29,0.02,37.53,0.0,104.10026315788684,1
30,0.02,37.51,0.0,219.3033333333296,1
31,0.02,37.51,0.0,320.20847368422386,1
32,0.02,37.53,0.0,307.0846842105184,1
33,0.02,37.51,0.0,229.98396491230835,1
34,0.02,37.53,0.0,584.6481403509083,1
35,0.02,37.51,0.0,595.2239999999788,1
36,0.02,37.51,0.0,617.9268070175062,1
37,0.02,37.51,0.0,498.4544210526406,1
38,0.02,37.51,0.0,418.3430526315484,1
39,0.02,37.49,0.0,374.34203508766996,1
40,0.02,37.45,0.0,531.9620350876612,1
41,0.02,37.49,0.0,615.2528771930048,1
42,0.02,37.49,0.0,423.72233333322436,1
43,0.02,37.49,0.0,405.6068070175165,1
44,0.03,37.49,0.0,383.3740877193268,1
45,0.03,37.49,0.0,547.9449473683429,1
46,0.02,37.49,0.0,262.9719824560463,1
47,0.02,37.49,0.0,236.89791228060344,1
48,0.02,37.49,0.0,384.75512280689674,1
49,0.02,37.53,0.0,462.6451228069418,1
50,0.02,37.51,0.0,395.9769999999924,1
51,0.02,37.51,0.0,388.2212105262725,1
52,0.02,37.51,0.0,489.46877192974574,1
53,0.02,37.49,0.0,452.5118771929318,1
54,0.02,37.49,0.0,426.72096491223465,1
55,0.58,37.45,0.0,670.8751578947597,1
56,0.78,37.49,210.0,805.8118245613114,1
57,0.59,37.48,645.0,631.7625263157784,1
58,0.55,37.46,1173.0,498.54638596486734,1
59,0.51,37.49,1173.0,1027.6880175438555,1
60,0.49,37.45,1698.0,765.0285438595691,1
61,0.5,37.49,1698.0,523.7077368421229,1
62,0.5,37.49,2202.0,625.4583684209795,1
63,0.49,37.45,2202.0,477.3052982455465,1
64,0.54,37.45,2592.0,842.5189298245629,1
65,0.6,37.45,2592.0,423.4159473684249,1
66,0.66,37.49,2769.0,580.6705087717859,1
67,0.69,37.46,2814.0,542.8236491228314,1
68,0.7,37.45,2814.0,539.4912280700806,1
69,0.75,37.48,2814.0,341.07052631579455,1
70,0.71,37.45,2934.0,318.1152631579043,1
71,0.76,37.45,2934.0,325.06447368418816,1
72,0.78,37.49,2934.0,597.6836491227504,1
73,0.76,37.49,3015.0,529.5558245614754,1
74,0.77,37.49,3015.0,844.2724912280687,1
75,0.77,37.49,3015.0,3064.2593157896536,1
76,0.77,37.52,3144.0,1050.2598245614977,1
77,0.77,37.51,3144.0,667.0148421051967,1
78,0.75,37.51,3195.0,1169.86892982464,1
79,0.77,37.51,3195.0,805.1485614034791,1
80,0.77,37.49,3195.0,1100.9928771930208,1
81,0.75,37.49,3198.0,698.2159122806931,1
82,0.77,37.51,3198.0,896.2469999999934,1
83,0.77,37.49,3246.0,439.37829824556366,1
84,0.77,37.53,3192.0,522.5565964913618,1
85,0.77,37.51,3192.0,821.2934561403443,1
