,curr,temp,rpm,vibr_var,classifier
0,0.5,38.11,2340,269.9614640274,0
1,0.5,38.13,2928,289.4704323138,0
2,0.49,38.16,2961,282.8898100873,0
3,0.5,38.17,2949,259.8291024478,0
4,0.49,38.19,2949,263.0913203225,0
5,0.5,38.18,2925,283.8921672949,0
6,0.49,38.2,2928,262.1118409123,0
7,0.49,38.21,2907,297.1268549888,0
8,0.49,38.19,2907,278.4574986878,0
9,0.49,38.18,2907,255.951954001,0
10,0.49,38.21,2937,254.2104905282,0
11,0.49,38.25,2946,260.8951806079,0
12,0.49,38.21,2946,256.7402538531,0
13,0.5,38.27,2946,259.9910554945,0
14,0.49,38.27,2946,236.0218471155,0
15,0.5,38.25,2946,279.1927756835,0
16,0.5,38.27,2946,299.7008923033,0
17,0.49,38.27,2910,260.2855012645,0
18,0.49,38.25,2898,265.8118957866,0
19,0.5,38.29,2910,267.6679796727,0
20,0.49,38.32,2910,280.2363959537,0
21,0.5,38.3,2916,310.2639142054,0
22,0.5,38.34,2943,281.6568712126,0
23,0.49,38.33,2940,253.3715727443,0
24,0.49,38.41,2928,262.826177411,0
25,0.5,38.37,2928,272.4366059075,0
26,0.49,38.42,2922,249.8310087323,0
27,0.5,38.41,2886,263.2109342942,0
28,0.5,38.42,2892,227.8808107078,0
29,0.49,38.43,2883,283.1081023049,0
30,0.5,38.48,2895,254.1682063274,0
31,0.5,38.47,2880,234.3135157706,0
32,0.49,38.49,2871,254.3538626714,0
33,0.5,38.49,2871,245.1806747151,0
34,0.5,38.51,2871,219.1237176125,0
35,0.5,38.53,2847,267.0665290836,0
36,0.1,38.53,2847,212.9336188388,0
37,0.02,38.53,2847,225.5271675338,0
38,0.02,38.53,2739,244.3724555044,0
39,0.02,38.55,2739,625.9904876655,0
40,0.02,38.53,2466,61.9059574369,0
41,0.01,38.53,2058,18.3822565255,0
42,0.01,38.55,1536,0.4046857855,0
43,0.01,38.59,972,0.5386553422,0
9,0.51,38.29,2451,1231.9762421217,1
10,0.59,38.33,2811,932.4685547463,1
11,0.59,38.29,2856,1153.3443589535,1
12,0.61,38.33,2856,1098.501952198,1
13,0.6,38.35,2931,1418.7506684676,1
14,0.62,38.3,2964,1453.5463875475,1
15,0.63,38.33,2991,1512.1112575374,1
16,0.65,38.35,2994,1491.0280797251,1
17,0.65,38.33,2994,2192.5028962377,1
18,0.67,38.33,3345,2071.0534883088,1
19,0.66,38.33,3345,2387.6821273636,1
20,0.67,38.33,3300,2258.6401708004,1
21,0.68,38.37,3291,2607.3951010889,1
22,0.68,38.41,3291,2462.8117254647,1
23,0.67,38.35,3264,2277.6814643531,1
24,0.69,38.41,3258,1948.6760279393,1
25,0.71,38.41,3258,2156.7804725657,1
26,0.68,38.41,3264,2590.2208234429,1
27,0.68,38.41,3264,2682.1057842898,1
28,0.69,38.45,3267,3038.5363196094,1
29,0.69,38.43,3297,2358.3314438898,1
30,0.7,38.45,3321,2709.4110665468,1
31,0.71,38.45,3321,2278.1340181715,1
