,curr,temp,rpm,vibr_var,classifier
0,0.4,38.33,0.0,29.881857182191265,1
1,0.6,38.27,42.0,140.50476658210667,1
2,0.62,38.33,150.0,424.54721562854684,1
3,0.76,38.33,348.0,195.76847289303086,1
4,0.78,38.33,348.0,183.0516261494079,1
5,0.9,38.33,696.0,577.334859894738,1
6,0.55,38.33,1179.0,689.9763758151761,1
7,0.49,38.29,2094.0,1033.710579520388,1
8,0.49,38.32,2094.0,1616.9699776268542,1
9,0.51,38.29,2451.0,1231.9762421217051,1
10,0.59,38.33,2811.0,932.4685547462535,1
11,0.59,38.29,2856.0,1153.3443589535377,1
12,0.61,38.33,2856.0,1098.5019521979436,1
13,0.6,38.35,2931.0,1418.7506684675673,1
14,0.62,38.3,2964.0,1453.5463875474943,1
15,0.63,38.33,2991.0,1512.111257537425,1
16,0.65,38.35,2994.0,1491.0280797251044,1
17,0.65,38.33,2994.0,2192.502896237648,1
18,0.67,38.33,3345.0,2071.0534883088058,1
19,0.66,38.33,3345.0,2387.6821273635874,1
20,0.67,38.33,3300.0,2258.6401708004046,1
21,0.68,38.37,3291.0,2607.3951010888914,1
22,0.68,38.41,3291.0,2462.8117254647223,1
23,0.67,38.35,3264.0,2277.68146435309,1
24,0.69,38.41,3258.0,1948.6760279393322,1
25,0.71,38.41,3258.0,2156.7804725656447,1
26,0.68,38.41,3264.0,2590.2208234428754,1
27,0.68,38.41,3264.0,2682.105784289761,1
28,0.69,38.45,3267.0,3038.536319609441,1
29,0.69,38.43,3297.0,2358.3314438898096,1
30,0.7,38.45,3321.0,2709.4110665467533,1
31,0.71,38.45,3321.0,2278.134018171515,1
32,0.7,38.45,3273.0,2394.1972347276615,1
33,0.72,38.43,3246.0,2140.8926004748564,1
34,0.69,38.5,3264.0,2675.1786158632567,1
35,0.69,38.49,3288.0,2364.599952252414,1
36,0.7,38.53,3288.0,4291.081528471369,1
37,0.7,38.53,3342.0,2123.4173078498625,1
