,curr,temp,rpm,vibr_var,classifier
0,0.06,37.35,0.0,1.004773254097866,2
1,0.02,37.33,0.0,1.8009630459015353,2
2,0.01,37.33,0.0,0.8739585666008151,2
3,0.01,37.33,0.0,1.7567189249494035,2
4,0.02,37.33,0.0,0.7679647256011497,2
5,0.52,37.35,3.0,19.771822508350834,2
6,0.62,37.35,90.0,6.868065509471699,2
7,0.6,37.33,90.0,37.97744960802548,2
8,0.69,37.33,279.0,87.72899216120189,2
9,0.67,37.33,975.0,349.7111226203648,2
10,0.6,37.33,975.0,601.6934714445891,2
11,0.56,37.3,1935.0,325.7704423292444,2
12,0.52,37.29,1935.0,386.75793113100355,2
13,0.52,37.33,1935.0,238.61267357222826,2
14,0.49,37.34,2559.0,218.85807670774173,2
15,0.5,37.33,2559.0,1445.9811310190491,2
16,0.59,37.32,2700.0,875.6015565509362,2
17,0.7,37.35,2733.0,616.1722088465631,2
18,0.72,37.33,2781.0,368.09151455767756,2
19,0.73,37.3,2781.0,186.19828107502852,2
20,0.73,37.35,2832.0,255.55685330347512,2
21,0.74,37.37,2919.0,985.7305375139964,2
22,0.73,37.35,2919.0,2186.253073908159,2
23,0.74,37.37,3012.0,2843.612256438975,2
24,0.76,37.37,3078.0,2316.206732922712,2
25,0.75,37.37,3165.0,2151.972597984307,2
26,0.77,37.37,3234.0,2362.728701007808,2
27,0.74,37.37,3255.0,2519.247813549798,2
28,0.72,37.37,3255.0,2356.9511842104575,2
29,0.74,37.37,3273.0,2390.8801595743716,2
30,0.74,37.37,3306.0,2430.408297872244,2
31,0.73,37.37,3279.0,2103.4714025754774,2
32,0.76,37.37,3279.0,2190.478933370527,2
33,0.75,37.41,3258.0,2240.422875139817,2
34,0.73,37.43,3258.0,2655.6947704365916,2
35,0.74,37.43,3258.0,2438.43792833134,2
36,0.74,37.43,3273.0,1738.9498460244745,2
37,0.73,37.41,3273.0,2934.1178219483454,2
38,0.74,37.43,3246.0,1918.574045352578,2
39,0.74,37.43,3246.0,2621.653062709783,2
40,0.73,37.43,3228.0,2365.8311898094657,2
41,0.72,37.43,3204.0,55147.22443169036,2
42,0.72,37.43,3204.0,2153.600895855717,2
43,0.76,37.48,3216.0,2901.5560526306353,2
44,0.78,37.49,3171.0,1691.5034686440588,2
45,0.75,37.49,3171.0,1857.0531662924277,2
46,0.7,37.46,3129.0,2372.5427575577974,2
47,0.73,37.51,3129.0,2193.0153471435165,2
48,0.71,37.49,3156.0,2456.623166292456,2
49,0.74,37.5,3195.0,1537.7998404246016,2
50,0.74,37.49,3195.0,1544.9623096295516,2
51,0.72,37.51,3195.0,1419.846226202919,2
52,0.71,37.51,3198.0,1591.0479535265151,2
53,0.73,37.51,3189.0,1242.6992273227115,2
54,0.75,37.53,3138.0,1881.46379899126,2
55,0.74,37.53,3138.0,1688.3545576698584,2
56,0.76,37.51,3138.0,1762.970971443644,2
57,0.74,37.53,3015.0,1450.597248039414,2
58,0.72,37.59,3015.0,1481.335842664264,2
59,0.5,37.63,3072.0,1589.250893056201,2
60,0.5,37.67,3000.0,149.43853863293108,2
61,0.49,37.63,3000.0,198.9595184761377,2
62,0.5,37.63,3000.0,176.84847704276257,2
